"","player.name","type.name","location.x","location.y","cluster"
"1","Abdullah Ibrahim Otayf","Pass",36,40,1
"2","Salman Mohammed Al Faraj","Pass",76,6,2
"3","Salem Mohammed Al Dawsari","Pass",91,8,3
"4","Salman Mohammed Al Faraj","Pass",107,20,2
"5","Yehya Sulaiman Al Shehri","Pass",94,6,2
"6","Abdullah Ibrahim Otayf","Pass",88,16,1
"7","Aleksandr Samedov","Pass",40,78,2
"8","Fyodor Smolov","Pass",53,74,3
"9","Taisir Jabir Al Jassim","Pass",58,12,2
"10","Aleksandr Samedov","Pass",97,62,2
"11","Aleksandr Samedov","Pass",112,69,2
"12","Roman Zobnin","Pass",92,61,2
"13","Salem Mohammed Al Dawsari","Pass",26,21,3
"14","Yehya Sulaiman Al Shehri","Pass",62,80,2
"15","Roman Zobnin","Pass",45,7,2
"16","Yehya Sulaiman Al Shehri","Pass",82,68,2
"17","Yury Gazinskiy","Pass",45,23,1
"18","Abdullah Ibrahim Otayf","Pass",66,63,1
"19","Aleksandr Golovin","Pass",76,11,2
"20","Fyodor Smolov","Pass",71,15,3
"21","Yehya Sulaiman Al Shehri","Pass",54,62,2
"22","Abdullah Ibrahim Otayf","Pass",48,59,1
"23","Taisir Jabir Al Jassim","Pass",42,63,2
"24","Salem Mohammed Al Dawsari","Pass",84,46,3
"25","Salem Mohammed Al Dawsari","Pass",87,64,3
"26","Salem Mohammed Al Dawsari","Pass",82,60,3
"27","Abdullah Ibrahim Otayf","Pass",84,67,1
"28","Yehya Sulaiman Al Shehri","Pass",85,77,2
"29","Abdullah Ibrahim Otayf","Pass",84,71,1
"30","Yehya Sulaiman Al Shehri","Pass",81,77,2
"31","Salman Mohammed Al Faraj","Pass",100,4,2
"32","Salem Mohammed Al Dawsari","Pass",92,14,3
"33","Salman Mohammed Al Faraj","Pass",112,2,2
"34","Salem Mohammed Al Dawsari","Pass",107,12,3
"35","Abdullah Ibrahim Otayf","Pass",79,3,1
"36","Salem Mohammed Al Dawsari","Pass",79,14,3
"37","Yehya Sulaiman Al Shehri","Pass",82,74,2
"38","Taisir Jabir Al Jassim","Pass",105,80,2
"39","Taisir Jabir Al Jassim","Pass",102,77,2
"40","Yehya Sulaiman Al Shehri","Pass",100,76,2
"41","Aleksandr Golovin","Dribble",31,7,2
"42","Aleksandr Golovin","Pass",41,27,2
"43","Fyodor Smolov","Pass",94,58,3
"44","Aleksandr Samedov","Shot",111,52,2
"45","Abdullah Ibrahim Otayf","Pass",4,19,1
"46","Salem Mohammed Al Dawsari","Pass",48,6,3
"47","Salman Mohammed Al Faraj","Pass",56,12,2
"48","Aleksandr Golovin","Pass",115,23,2
"49","Yehya Sulaiman Al Shehri","Dribble",16,56,2
"50","Salem Mohammed Al Dawsari","Pass",65,7,3
"51","Yehya Sulaiman Al Shehri","Dribble",118,74,2
"52","Yury Gazinskiy","Pass",47,73,1
"53","Roman Zobnin","Pass",55,54,2
"54","Salem Mohammed Al Dawsari","Pass",46,6,3
"55","Roman Zobnin","Pass",93,58,2
"56","Aleksandr Golovin","Pass",104,17,2
"57","Aleksandr Golovin","Pass",97,14,2
"58","Yury Gazinskiy","Shot",112,47,1
"59","Salem Mohammed Al Dawsari","Pass",63,3,3
"60","Yehya Sulaiman Al Shehri","Pass",71,74,2
"61","Aleksandr Golovin","Pass",70,14,2
"62","Aleksandr Golovin","Pass",81,13,2
"63","Yury Gazinskiy","Pass",59,70,1
"64","Yury Gazinskiy","Pass",46,67,1
"65","Fyodor Smolov","Pass",113,80,3
"66","Fyodor Smolov","Pass",104,76,3
"67","Aleksandr Samedov","Pass",105,78,2
"68","Roman Zobnin","Pass",76,77,2
"69","Aleksandr Samedov","Pass",91,78,2
"70","Roman Zobnin","Pass",88,72,2
"71","Salman Mohammed Al Faraj","Pass",41,7,2
"72","Roman Zobnin","Pass",80,75,2
"73","Roman Zobnin","Pass",69,23,2
"74","Aleksandr Golovin","Pass",86,10,2
"75","Roman Zobnin","Pass",63,17,2
"76","Fyodor Smolov","Pass",76,72,3
"77","Fyodor Smolov","Pass",85,56,3
"78","Salman Mohammed Al Faraj","Pass",83,1,2
"79","Salem Mohammed Al Dawsari","Pass",82,6,3
"80","Salman Mohammed Al Faraj","Pass",85,2,2
"81","Abdullah Ibrahim Otayf","Pass",69,5,1
"82","Salem Mohammed Al Dawsari","Pass",73,14,3
"83","Aleksandr Samedov","Pass",88,69,2
"84","Salman Mohammed Al Faraj","Pass",48,30,2
"85","Taisir Jabir Al Jassim","Pass",53,42,2
"86","Abdullah Ibrahim Otayf","Pass",44,36,1
"87","Taisir Jabir Al Jassim","Pass",39,46,2
"88","Abdullah Ibrahim Otayf","Pass",34,37,1
"89","Yehya Sulaiman Al Shehri","Pass",46,59,2
"90","Aleksandr Samedov","Pass",64,50,2
