"","player.name","number","Dribble","Pass","Shot","prop.Shot","prop.Pass","prop.Dribble","team.name","position.name","cluster"
"1","Aaron Mooy",210,1,206,3,0.0142857142857143,0.980952380952381,0.00476190476190476,"Australia","Left Center Midfield",1
"2","Abdalla Mahmoud El Said Bekhit",149,0,147,2,0.0134228187919463,0.986577181208054,0,"Egypt","Center Attacking Midfield",1
"3","Abdullah Ibrahim Otayf",263,4,257,2,0.00760456273764259,0.977186311787072,0.0152091254752852,"Saudi Arabia","Center Defensive Midfield",1
"4","Adem Ljajic",86,8,77,1,0.0116279069767442,0.895348837209302,0.0930232558139535,"Serbia","Center Attacking Midfield",3
"5","Adrien Sebastian Perruchet Silva",163,1,160,2,0.0122699386503067,0.98159509202454,0.00613496932515337,"Portugal","Right Defensive Midfield",1
"6","Ahmed Musa",76,10,62,4,0.0526315789473684,0.815789473684211,0.131578947368421,"Nigeria","Left Center Forward",5
"7","Albin Ekdal",182,11,168,3,0.0164835164835165,0.923076923076923,0.0604395604395604,"Sweden","Left Center Midfield",2
"8","Aleksandar Mitrovic",82,3,63,16,0.195121951219512,0.768292682926829,0.0365853658536585,"Serbia","Center Forward",5
"9","Aleksandr Golovin",145,6,135,4,0.0275862068965517,0.931034482758621,0.0413793103448276,"Russia","Center Attacking Midfield",2
"10","Aleksandr Samedov",163,6,155,2,0.0122699386503067,0.950920245398773,0.0368098159509202,"Russia","Right Wing",2
"11","Alfreð Finnbogason",59,2,51,6,0.101694915254237,0.864406779661017,0.0338983050847458,"Iceland","Center Forward",4
"12","Alfred John Momar N""Diaye",49,1,47,1,0.0204081632653061,0.959183673469388,0.0204081632653061,"Senegal","Left Center Midfield",2
"13","Alireza Jahanbakhsh",57,6,49,2,0.0350877192982456,0.859649122807018,0.105263157894737,"Iran","Right Midfield",3
"14","Amine Harit",46,13,30,3,0.0652173913043478,0.652173913043478,0.282608695652174,"Morocco","Left Wing",6
"15","Amr Medhat Warda",72,3,67,2,0.0277777777777778,0.930555555555556,0.0416666666666667,"Egypt","Right Midfield",2
"16","André Martín Carrillo Díaz",127,18,106,3,0.0236220472440945,0.834645669291339,0.141732283464567,"Peru","Right Wing",5
"17","Andreas Evald Cornelius",40,4,35,1,0.025,0.875,0.1,"Denmark","Center Forward",3
"18","Andrej Kramaric",165,10,143,12,0.0727272727272727,0.866666666666667,0.0606060606060606,"Croatia","Center Attacking Midfield",4
"19","Andrés Iniesta Luján",302,11,285,6,0.0198675496688742,0.943708609271523,0.0364238410596026,"Spain","Left Center Midfield",2
"20","Andrés Mateus Uribe Villa",95,4,88,3,0.0315789473684211,0.926315789473684,0.0421052631578947,"Colombia","Left Center Midfield",2
"21","Ángel Fabián Di María Hernández",100,8,88,4,0.04,0.88,0.08,"Argentina","Left Wing",3
"22","Aníbal Cesis Godoy",112,4,106,2,0.0178571428571429,0.946428571428571,0.0357142857142857,"Panama","Left Center Midfield",2
"23","Anice Badri",90,6,81,3,0.0333333333333333,0.9,0.0666666666666667,"Tunisia","Left Center Midfield",3
"24","Ante Rebic",169,22,132,15,0.0887573964497041,0.781065088757396,0.130177514792899,"Croatia","Right Wing",5
"25","Antoine Griezmann",283,14,248,21,0.0742049469964664,0.876325088339223,0.049469964664311,"France","Center Attacking Midfield",4
"26","Armando Enrique Cooper Whitaker",83,8,74,1,0.0120481927710843,0.891566265060241,0.0963855421686747,"Panama","Right Center Midfield",3
"27","Aron Einar Gunnarsson",94,3,89,2,0.0212765957446809,0.946808510638298,0.0319148936170213,"Iceland","Right Defensive Midfield",2
"28","Artem Dzyuba",122,8,106,8,0.0655737704918033,0.868852459016393,0.0655737704918033,"Russia","Center Forward",4
"29","Ashley Young",249,3,244,2,0.00803212851405622,0.979919678714859,0.0120481927710843,"England","Left Midfield",1
"30","Axel Witsel",335,4,325,6,0.017910447761194,0.970149253731343,0.0119402985074627,"Belgium","Left Center Midfield",1
"31","Bamidele Alli",170,6,158,6,0.0352941176470588,0.929411764705882,0.0352941176470588,"England","Left Center Midfield",2
"32","Bernardo Mota Veiga de Carvalho e Silva",144,10,132,2,0.0138888888888889,0.916666666666667,0.0694444444444444,"Portugal","Right Midfield",3
"33","Birkir Bjarnason",73,2,64,7,0.0958904109589041,0.876712328767123,0.0273972602739726,"Iceland","Left Midfield",4
"34","Blaise Matuidi",129,2,122,5,0.0387596899224806,0.945736434108527,0.0155038759689922,"France","Left Wing",2
"35","Blerim Džemaili",106,5,92,9,0.0849056603773585,0.867924528301887,0.0471698113207547,"Switzerland","Center Attacking Midfield",4
"36","Breel-Donald Embolo",55,9,42,4,0.0727272727272727,0.763636363636364,0.163636363636364,"Switzerland","Left Wing",6
"37","Bryan Ruiz González",135,11,122,2,0.0148148148148148,0.903703703703704,0.0814814814814815,"Costa Rica","Right Wing",3
"38","Carlos Alberto Sánchez Moreno",76,0,76,0,0,1,0,"Colombia","Right Center Midfield",1
"39","Carlos Alberto Vela Garrido",149,17,122,10,0.0671140939597315,0.818791946308725,0.114093959731544,"Mexico","Center Attacking Midfield",5
